,Station_ID,lonWGS84,latWGS84,xWGS84_UTM10N,yWGS84_UTM10N,zWGS84,OG,FAA,SBA,TTC,CBA,ISO
0,1,-122.9476299037,38.4104214534,504572.211,4251355.026,137.03739,979999.22,22.99,4.16,2.76,6.67,-1.73
1,3,-122.9476298782,38.412588372,504572.077,4251595.467,155.88143,979995.45,24.85,3.9,4.18,7.81,-0.47
2,4,-122.9441297259,38.412921293,504877.629,4251632.588,162.62134,979993.92,25.37,3.67,2.1,5.49,-2.63
3,5,-122.9434626898,38.4135882562,504935.818,4251706.629,163.63034,979993.4,25.1,3.29,2.08,5.08,-2.98
4,6,-122.9426296468,38.414254217,505008.498,4251780.569,164.76233,979992.88,24.87,2.93,1.95,4.6,-3.39
5,7,-122.9419626127,38.4147541871,505066.696,4251836.082,166.77632,979992.39,24.95,2.79,1.88,4.38,-3.56
6,8,-122.9414625887,38.4149211707,505110.337,4251854.638,166.92931,979992.39,24.99,2.81,1.81,4.33,-3.58
7,9,-122.9406295458,38.4155881324,505183.014,4251928.691,166.8403,979992.26,24.77,2.6,1.84,4.15,-3.69
8,10,-122.9399625156,38.4157541152,505241.233,4251947.146,167.29929,979992.4,25.03,2.81,2.03,4.56,-3.25
9,11,-122.9392964837,38.4160880922,505299.353,4251984.242,168.61128,979992.25,25.26,2.89,1.92,4.52,-3.24
10,12,-122.9387964606,38.4162540781,505342.992,4252002.689,169.92327,979992.08,25.48,2.97,1.78,4.46,-3.28
11,13,-122.9379624215,38.4165880528,505415.778,4252039.795,172.08825,979991.5700000001,25.61,2.85,1.8,4.36,-3.32
12,15,-122.935462301,38.4179209676,505633.931,4252187.845,187.54622,979990.41,29.1,4.61,1.94,6.24,-1.28
13,16,-122.9339622268,38.4189209113,505764.803,4252298.892,198.2802,979988.0700000001,29.98,4.3,1.9,5.87,-1.55
14,17,-122.9324621636,38.4189208899,505895.752,4252298.984,203.43116,979984.12,27.62,1.36,2.14,3.16,-4.2
15,18,-122.9309620861,38.4202538248,506026.591,4252446.984,210.35414,979982.0700000001,27.59,0.55,2.45,2.66,-4.57
16,19,-122.9309620717,38.4215877809,506026.482,4252595.0,210.66217,979982.01,27.51,0.43,2.6,2.69,-4.46
